# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1663693142.370650053024292,0.00194,0.00014,0.00004,0.00123,0.00004,0.00016,0.00355
1663693142.404177665710449,0.00180,0.00012,0.00004,0.00117,0.00003,0.00011,0.00328
1663693142.437555074691772,0.00154,0.00013,0.00001,0.00098,0.00044,0.00010,0.00320
1663693142.470780134201050,0.00164,0.00013,0.00004,0.00100,0.00005,0.00013,0.00299
1663693142.504223108291626,0.00151,0.00015,0.00001,0.00106,0.00000,0.00011,0.00286
1663693142.537560224533081,0.00167,0.00012,0.00004,0.00102,0.00040,0.00013,0.00337
1663693142.570778369903564,0.00207,0.00012,0.00001,0.00103,0.00003,0.00014,0.00340
1663693142.604199171066284,0.00145,0.00012,0.00002,0.00103,0.00076,0.00014,0.00352
1663693142.637553215026855,0.00168,0.00013,0.00001,0.00125,0.00000,0.00015,0.00323
1663693142.670681238174438,0.00163,0.00013,0.00003,0.00112,0.00079,0.00014,0.00384
1663693142.704169750213623,0.00209,0.00015,0.00004,0.00120,0.00104,0.00017,0.00469
1663693142.737536668777466,0.00140,0.00016,0.00023,0.00109,0.00000,0.00013,0.00301
1663693142.770851612091064,0.00207,0.00016,0.00003,0.00100,0.00099,0.00022,0.00448
1663693142.804069519042969,0.00179,0.00013,0.00002,0.00118,0.00004,0.00018,0.00334
1663693142.837587594985962,0.00138,0.00012,0.00001,0.00112,0.00308,0.00015,0.00586
1663693142.870962619781494,0.00158,0.00013,0.00001,0.00203,0.00000,0.00014,0.00388
1663693142.904103755950928,0.00145,0.00013,0.00001,0.00207,0.00055,0.00016,0.00437
1663693142.937588453292847,0.00150,0.00013,0.00001,0.00206,0.00000,0.00014,0.00384
1663693142.970958232879639,0.00150,0.00014,0.00001,0.00251,0.00000,0.00021,0.00436
1663693143.004077672958374,0.00149,0.00013,0.00001,0.00215,0.00000,0.00009,0.00387
1663693143.037578821182251,0.00135,0.00013,0.00001,0.00213,0.00000,0.00015,0.00376
1663693143.070991277694702,0.00129,0.00013,0.00001,0.00206,0.00005,0.00015,0.00369
1663693143.104080915451050,0.00129,0.00013,0.00001,0.00209,0.00003,0.00016,0.00371
1663693143.137569904327393,0.00156,0.00013,0.00004,0.00209,0.00027,0.00013,0.00422
1663693143.170967340469360,0.00149,0.00014,0.00003,0.00204,0.00002,0.00014,0.00386
1663693143.204080343246460,0.00123,0.00013,0.00001,0.00200,0.00000,0.00013,0.00349
1663693143.237572908401489,0.00210,0.00016,0.00001,0.00195,0.00000,0.00014,0.00436
1663693143.270978450775146,0.00156,0.00016,0.00005,0.00205,0.00000,0.00012,0.00395
1663693143.304111957550049,0.00201,0.00013,0.00003,0.00251,0.00000,0.00013,0.00482
1663693143.337581396102905,0.00214,0.00020,0.00001,0.00188,0.00000,0.00015,0.00439
1663693143.370934724807739,0.00170,0.00013,0.00006,0.00252,0.00006,0.00030,0.00477
1663693143.404105901718140,0.00170,0.00013,0.00015,0.00196,0.00003,0.00014,0.00411
1663693143.437572956085205,0.00220,0.00013,0.00001,0.00185,0.00000,0.00014,0.00433
1663693143.470942974090576,0.00199,0.00014,0.00001,0.00202,0.00003,0.00013,0.00433
1663693143.504198312759399,0.00187,0.00013,0.00001,0.00195,0.00164,0.00014,0.00575
1663693143.537444591522217,0.00163,0.00014,0.00001,0.00208,0.00000,0.00010,0.00396
1663693143.570987939834595,0.00157,0.00013,0.00001,0.00212,0.00000,0.00013,0.00395
1663693143.604326009750366,0.00178,0.00013,0.00007,0.00218,0.00000,0.00012,0.00430
1663693143.637449979782104,0.00180,0.00014,0.00003,0.00201,0.00000,0.00019,0.00417
1663693143.670954942703247,0.00149,0.00013,0.00004,0.00206,0.00014,0.00015,0.00402
1663693143.704341650009155,0.00231,0.00013,0.00001,0.00205,0.00000,0.00015,0.00465
1663693143.737466812133789,0.00132,0.00014,0.00001,0.00205,0.00000,0.00014,0.00366
1663693143.770973682403564,0.00146,0.00013,0.00002,0.00200,0.00003,0.00018,0.00383
1663693143.804336547851562,0.00167,0.00015,0.00001,0.00206,0.00004,0.00011,0.00404
1663693143.837456703186035,0.00154,0.00015,0.00005,0.00203,0.00000,0.00017,0.00394
1663693143.870964288711548,0.00155,0.00013,0.00002,0.00210,0.00000,0.00013,0.00394
1663693143.904341459274292,0.00133,0.00013,0.00001,0.00197,0.00000,0.00034,0.00378
1663693143.937457561492920,0.00189,0.00013,0.00001,0.00225,0.00000,0.00015,0.00442
1663693143.970973253250122,0.00169,0.00014,0.00001,0.00195,0.00015,0.00016,0.00409
1663693144.004454135894775,0.00193,0.00013,0.00001,0.00190,0.00000,0.00013,0.00409
1663693144.037457227706909,0.00177,0.00013,0.00004,0.00175,0.00000,0.00013,0.00382
1663693144.070990324020386,0.00142,0.00014,0.00003,0.00192,0.00004,0.00009,0.00365
1663693144.104371547698975,0.00183,0.00014,0.00001,0.00198,0.00003,0.00013,0.00412
1663693144.137599706649780,0.00181,0.00013,0.00003,0.00187,0.00001,0.00011,0.00396
1663693144.170860528945923,0.00178,0.00016,0.00001,0.00223,0.00000,0.00017,0.00435
1663693144.204360961914062,0.00177,0.00015,0.00001,0.00210,0.00000,0.00013,0.00417
1663693144.237761259078979,0.00132,0.00015,0.00001,0.00197,0.00000,0.00013,0.00357
1663693144.270880699157715,0.00166,0.00016,0.00001,0.00212,0.00015,0.00012,0.00421
1663693144.304363012313843,0.00208,0.00015,0.00001,0.00208,0.00000,0.00014,0.00445
1663693144.337735176086426,0.00190,0.00015,0.00001,0.00193,0.00000,0.00010,0.00408
1663693144.370865345001221,0.00125,0.00012,0.00001,0.00192,0.00005,0.00011,0.00346
1663693144.404372215270996,0.00152,0.00014,0.00001,0.00237,0.00003,0.00016,0.00422
1663693144.437789916992188,0.00186,0.00018,0.00001,0.00197,0.00033,0.00021,0.00456
1663693144.470877647399902,0.00164,0.00015,0.00001,0.00194,0.00000,0.00016,0.00389
1663693144.504376649856567,0.00164,0.00015,0.00003,0.00196,0.00000,0.00023,0.00401
1663693144.537812709808350,0.00215,0.00012,0.00001,0.00188,0.00000,0.00012,0.00429
1663693144.570871114730835,0.00149,0.00013,0.00001,0.00222,0.00010,0.00014,0.00408
1663693144.604375839233398,0.00152,0.00013,0.00001,0.00206,0.00000,0.00010,0.00381
1663693144.637733221054077,0.00216,0.00013,0.00001,0.00189,0.00000,0.00012,0.00430
1663693144.670927047729492,0.00159,0.00013,0.00001,0.00171,0.00005,0.00010,0.00359
1663693144.704368829727173,0.00185,0.00013,0.00003,0.00180,0.00004,0.00016,0.00402
1663693144.737745285034180,0.00160,0.00012,0.00001,0.00178,0.00000,0.00014,0.00364
1663693144.770876884460449,0.00165,0.00013,0.00001,0.00169,0.00000,0.00013,0.00360
1663693144.804393529891968,0.00166,0.00013,0.00002,0.00171,0.00001,0.00012,0.00364
1663693144.837753534317017,0.00163,0.00017,0.00001,0.00180,0.00000,0.00013,0.00373
1663693144.871015310287476,0.00209,0.00014,0.00001,0.00172,0.00097,0.00010,0.00504
1663693144.904271125793457,0.00156,0.00014,0.00001,0.00201,0.00000,0.00018,0.00389
1663693144.937755346298218,0.00224,0.00014,0.00001,0.00203,0.00000,0.00011,0.00453
1663693144.971175670623779,0.00193,0.00015,0.00001,0.00185,0.00005,0.00019,0.00417
1663693145.004223346710205,0.00223,0.00013,0.00001,0.00198,0.00048,0.00012,0.00495
1663693145.037743806838989,0.00140,0.00030,0.00010,0.00196,0.00000,0.00011,0.00388
1663693145.071125268936157,0.00196,0.00011,0.00001,0.00204,0.00000,0.00012,0.00424
1663693145.104249000549316,0.00206,0.00016,0.00006,0.00181,0.00026,0.00014,0.00449
1663693145.137730360031128,0.00143,0.00013,0.00001,0.00202,0.00000,0.00015,0.00373
1663693145.171157598495483,0.00167,0.00012,0.00001,0.00199,0.00085,0.00027,0.00492
1663693145.204222679138184,0.00156,0.00014,0.00031,0.00196,0.00001,0.00013,0.00412
1663693145.237722158432007,0.00178,0.00014,0.00004,0.00198,0.00000,0.00021,0.00414
1663693145.271106004714966,0.00160,0.00013,0.00020,0.00181,0.00013,0.00015,0.00403
1663693145.304241180419922,0.00205,0.00017,0.00003,0.00165,0.00000,0.00015,0.00405
1663693145.337744712829590,0.00168,0.00012,0.00003,0.00166,0.00492,0.00017,0.00858
1663693145.371128559112549,0.00251,0.00013,0.00001,0.00283,0.00000,0.00035,0.00582
1663693145.404253244400024,0.00142,0.00015,0.00001,0.00335,0.00000,0.00013,0.00505
